timestamp,lat,lon,vel,elev,prox,warninglight
a23:18:58.0 28/11/2017,37.8667,-122.2623,0.72,69.8,0,0
a23:19:0.0 28/11/2017,37.8667,-122.2623,1.25,69.8,0,0
a23:19:0.984 28/11/2017,37.8667,-122.2623,0.9,69.8,0,0
a23:19:4.0 28/11/2017,37.8667,-122.2623,0.9,66.8,1,0
a23:19:4.984 28/11/2017,37.8667,-122.2623,0.37,66.8,0,0
a23:19:6.0 28/11/2017,37.8667,-122.2623,1.15,66.8,0,0
aa23:19:8.984 28/11/2017,37.8666,-122.2623,1.46,66.8,1,0
a23:19:10.0 28/11/2017,37.8666,-122.2623,1.86,66.8,0,0
a23:19:11.0 28/11/2017,37.8666,-122.2623,3.14,66.8,0,0
a23:19:12.984 28/11/2017,37.8666,-122.2623,3.34,66.8,0,0
a23:19:14.0 28/11/2017,37.8666,-122.2622,3.99,66.8,0,0
a23:19:15.0 28/11/2017,37.8666,-122.2622,3.41,66.8,0,0
a23:19:16.984 28/11/2017,37.8666,-122.2622,3.08,66.8,0,0
a23:19:18.0 28/11/2017,37.8666,-122.2622,3.57,66.8,0,0
a23:19:20.0 28/11/2017,37.8666,-122.2621,3.07,66.8,0,0
a23:19:20.984 28/11/2017,37.8666,-122.2621,3.19,66.8,0,0
a23:19:22.0 28/11/2017,37.8666,-122.2621,2.87,66.8,0,0
a23:19:24.0 28/11/2017,37.8666,-122.2621,3.32,66.8,0,0
a23:19:24.984 28/11/2017,37.8666,-122.2621,3.11,66.8,0,0
a23:19:27.0 28/11/2017,37.8666,-122.262,3.01,66.8,0,0
a23:19:28.0 28/11/2017,37.8666,-122.262,3.28,66.8,0,0
a23:19:28.984 28/11/2017,37.8666,-122.262,2.57,66.8,0,0
a23:19:31.0 28/11/2017,37.8666,-122.2619,3.01,66.8,0,0
a23:19:32.0 28/11/2017,37.8666,-122.2619,2.99,66.8,0,0
a23:19:34.0 28/11/2017,37.8667,-122.2619,2.99,65.1,0,0
a23:19:35.0 28/11/2017,37.8667,-122.2619,2.93,65.1,0,0
a23:19:36.0 28/11/2017,37.8667,-122.2619,2.73,65.1,0,0
a23:19:38.0 28/11/2017,37.8666,-122.2618,3.58,65.1,0,0
a23:19:39.0 28/11/2017,37.8666,-122.2618,3.44,65.1,0,0
a23:19:40.0 28/11/2017,37.8666,-122.2618,2.69,65.1,0,0
a23:19:42.0 28/11/2017,37.8666,-122.2617,3.08,65.1,0,0
a23:19:43.0 28/11/2017,37.8666,-122.2617,3.56,65.1,0,0
a23:19:44.0 28/11/2017,37.8666,-122.2617,3.04,65.1,0,0
